[0.00-6.40] 說明會,我們很榮幸邀請到龍城店的呂谷欽董事長以及IR Rita來到看核證券
[6.40-10.50] 以各位投資經紀人分享公司的經營時機以及未來展望
[2684.48-2686.48] 這個貨幣會只是移動呢
[2686.48-2688.48] 還是說他真的有接到新的
[2688.48-2690.48] 有有有幾個案子
[2690.48-2692.48] 因為今年上半
[2692.48-2694.48] 這兩個月我們參加好幾個國防展
[2694.48-2696.48] 效果都很好
[2696.48-2698.48] 反應還不錯
[2698.48-2700.48] 因為德國新的政府就完全不一樣了
[2700.48-2702.48] 因為以前的那個肖志政府
[2702.48-2704.48] 跟現在沒有次
[2704.48-2706.48] 沒有次我覺得他比較重商主義
[2706.48-2708.48] 以前的政府比較社會主義
[2708.48-2710.48] 所以就讓整個國家
[2710.48-2712.48] 都不是國營
[2712.48-2714.48] 反正不管我不會講
[2714.48-2716.48] 所以現在基本上對企業比較友善
[2716.48-2718.48] 所以大家比較願意投資
[2718.48-2720.48] 其實德國我是覺得比較可惜
[2720.48-2722.48] 因為德國是全世界
[2722.48-2724.48] 算最有錢的國家之一
[2724.48-2726.48] 但是他的憲法就規定不能借太多錢
[2726.48-2728.48] 所以他自己把自己手腳綁起來
[2728.48-2730.48] 應該會改變
[2730.48-2732.48] 因為他可以舉債他根本無所謂
[2732.48-2734.48] 他不欠這個
[2734.48-2736.48] 只是說他這個國家財政距離太好
[2736.48-2738.48] 所以他就是
[2738.48-2740.48] 以前你可以用中國大陸的很低的生產要素
[2740.48-2742.48] 他可以產生很多貨力
[2742.48-2744.48] 賣很高級的車子或設備
[2744.48-2746.48] 人家都買單可以
[2746.48-2748.48] 那是因為中國的製造業還沒有起來
[2748.48-2750.48] 那現在中國在汽車工具機
[2750.48-2752.48] 什麼都起來
[2752.48-2754.48] 把他以前比如說100塊的變成30塊
[2754.48-2756.48] 那他就不挖可貨了
[2756.48-2758.48] 所以他基本上要改變他自己的策略
[2758.48-2760.48] 他們自己也是很了解
[2760.48-2762.48] 所以只是說這個調整的過程
[2762.48-2764.48] 沒有他們想的那麼快
[2764.48-2766.48] 大概是這樣
[2766.48-2768.48] 那如果現在
[2768.48-2770.48] 因為去年第一次季費用比較高
[2770.48-2772.48] 當然有包含一次性的
[2772.48-2774.48] 那如果今年前三季
[2774.48-2776.48] 每季費用就不含瑞士的那個部分
[2776.48-2778.48] 抓1.65到1.71這樣的人
[2778.48-2780.48] 還是要更高
[2780.48-2782.48] 我覺得費用
[2782.48-2784.48] 因為病進來之後我的費用會再增加
[2784.48-2786.48] 我說不含這一塊的話
[2786.48-2788.48] 不含這差不多跟去年差不多
[2788.48-2790.48] 因為我們沒有增加人
[2790.48-2792.48] 因為我們現在增加的人都是台灣的費用為主
[2792.48-2794.48] 我們沒有在進
[2794.48-2796.48] 但是未來我們公司也會很奇怪
[2796.48-2798.48] 毛利很高那個Net Profit
[2798.48-2800.48] 好像沒有變
[2800.48-2802.48] 因為我們病來瑞士毛利會更高
[2802.48-2804.48] 他會至少多2.3%以上
[2804.48-2806.48] 但是這個就是以後我們自己
[2806.48-2808.48] 因為你知道全球化只有很多
[2808.48-2810.48] 就Margin會消耗毛利很高
[2810.48-2812.48] 但是我的
[2812.48-2814.48] 因為費用嘛
[2814.48-2816.48] 因為他原工就變成費用
[2816.48-2818.48] 固定的費用
[2818.48-2820.48] 所以為什麼說
[2820.48-2822.48] 他再怎麼做就15%16%
[2822.48-2824.48] 他不可能
[2824.48-2826.48] 因為他分工是太多了
[2826.48-2828.48] 因為國外的高管費用的很高
[2828.48-2830.48] 他的所有人事費用都變成你的費用
[2830.48-2832.48] 消耗毛利以外的費用
[2832.48-2834.48] 所以你就會毛利增加
[2834.48-2836.48] 但是你的費用很高
[2836.48-2838.48] 大概是這樣
[2838.48-2840.48] 不過瑞士這兩間公司
[2840.48-2842.48] 因為營收比較高是做Post-B
[2842.48-2844.48] ESB那間公司
[2844.48-2846.48] 他的毛利率照理說應該是會比較低的
[2846.48-2848.48] 因為他的財務可能功能差不多高
[2848.48-2850.48] 那兩家合在一起看
[2850.48-2852.48] 照理說毛利率應該會比我們平均的低
[2852.48-2854.48] 還是少在這裡
[2854.48-2856.48] 但是也不太低
[2856.48-2858.48] 因為瑞士人的營業的績效很好
[2858.48-2860.48] 所以我的毛利還是會上升
[2860.48-2862.48] 但是Net profit的進步有限
[2862.48-2864.48] 大概是這樣
[2864.48-2866.48] 好
[2866.48-2868.48] 那還有誰
[2868.48-2870.48] 那個
[2870.48-2872.48] 我們會比較細的講
[2872.48-2874.48] 各個應用別
[2874.48-2876.48] 汽車當然就很固執
[2876.48-2878.48] 那像倉儲物流
[2878.48-2880.48] 因為我們去年下半年才有
[2880.48-2882.48] 提供這個個股進行
[2882.48-2884.48] 所以今年以YY小幣
[2884.48-2886.48] 應該還是會增加
[2886.48-2888.48] 那比較難估的是Honeywell這個部分
[2888.48-2890.48] 如果以去年為100當作基礎
[2890.48-2892.48] 今年大概余董覺得
[2892.48-2894.48] 加上這個代工代
[2894.48-2896.48] 應該會變成100多
[2896.48-2898.48] 哦
[2898.48-2900.48] 就是130以上吧
[2900.48-2902.48] 當然毛利率也會上升
[2902.48-2904.48] 但是我們車檢的毛利率下降了
[2904.48-2906.48] 但是我們現在最高還是其他
[2906.48-2908.48] 像就軍工產品的毛利
[2908.48-2910.48] 弄少50
[2910.48-2912.48] 它比較高了
[2912.48-2914.48] 大概是這樣
[2914.48-2916.48] 像醫療類因為我們有新客戶
[2916.48-2918.48] 然後我們也有一些案子在勾引
[2918.48-2920.48] 那這塊的成長性大概是怎麼樣
[2920.48-2922.48] 我覺得這個相對我們公司的
[2922.48-2924.48] 這種主力的產品的
[2924.48-2926.48] 那個Portofolio的成長
[2926.48-2928.48] 它稍微沒有那麼高
[2928.48-2930.48] 比如說我們要成長10億
[2930.48-2932.48] 可能成長幾千萬而已
[2932.48-2934.48] 所以它會
[2934.48-2936.48] 在Panel裡面它就是
[2936.48-2938.48] 它可能是一個很基本的
[2938.48-2940.48] Margin的毛利的Control
[2940.48-2942.48] 固定的Vision很好
[2942.48-2944.48] 那它在營收上的Control Vision
[2944.48-2946.48] 可能就沒有想像那麼大
[2946.48-2948.48] 因為你整個Base增加
[2948.48-2950.48] 所以我們今年還是其他塊的成長性
[2950.48-2952.48] 看起來是比較高
[2952.48-2954.48] 對會比較大
[2954.48-2956.48] 那我們不談瑞士
[2956.48-2958.48] 這個併購案的話
[2958.48-2960.48] 我們全年毛利率的漲後會是如何
[2960.48-2962.48] 但是現在是
[2962.48-2964.48] 不好解釋現在這個會議裡面
[2964.48-2966.48] 我們現在台灣這個
[2966.48-2968.48] 像現在最近歐元就很高
[2968.48-2970.48] 這不合理嘛
[2970.48-2972.48] 我一直認為歐元很大債
[2972.48-2974.48] 突然間這一個月
[2974.48-2976.48] 害我把歐元都賣掉了
[2976.48-2978.48] 不要說掉了就沒賺了
[2978.48-2980.48] 但是就是有點怪怪的
[2980.48-2982.48] 台幣理論上不可能那麼弱
[2982.48-2984.48] 但是相對太弱
[2984.48-2986.48] 所以這個比較
[2986.48-2988.48] 以現在講都還40%
[2988.48-2990.48] 我覺得還好啦
[2990.48-2992.48] 但是我比較care是Net Profit
[2992.48-2994.48] 能不能夠維持在
[2994.48-2996.48] 8%到20%之內
[2996.48-2998.48] 這個才是比較重要
[2998.48-3000.48] 這個隨著營收增加不管你怎麼變
[3000.48-3002.48] 因為毛利率我直接變
[3002.48-3004.48] 以我現在看毛利率應該不算很正
[3004.48-3006.48] 理論上是這樣
[3014.48-3016.48] 要不然我們今天就到此為止
[3016.48-3018.48] 謝謝大家的參加
[3018.48-3020.48] 謝謝
[3020.48-3022.48] 謝謝大家的參與
[3022.48-3024.48] 那我們今天會議就到此結束謝謝
[3024.48-3026.48] 謝謝大家
