[0.00-17.32] 歡迎大家今天來參加今年2025年Q1的法說
[2937.76-2939.76] 跟去年是沒有成長
[2939.76-2941.76] 這個
[2941.76-2943.76] 大概接下來
[2943.76-2945.76] 的一段時間
[2945.76-2947.76] 我覺得整個EV的成長可能
[2947.76-2949.76] 就是比較慢
[2949.76-2951.76] 這個就是目前市場的狀況
[2955.76-2957.76] 管理生好
[2957.76-2959.76] 我是UBS Timson
[2959.76-2961.76] 剛剛您提到說
[2961.76-2963.76] 這個
[2963.76-2965.76] 然後送到美國
[2965.76-2967.76] 然後在美國做Final Assembly這邊
[2967.76-2969.76] Tariff是我們要去自行吸收
[2969.76-2971.76] 然後再轉嫁給客戶
[2971.76-2973.76] 這方面的Products
[2973.76-2975.76] 是
[2975.76-2977.76] Sales are creative, but
[2977.76-2979.76] Growth Margin dilutive的狀況嗎
[2979.76-2981.76] 這我第一個問題
[2985.76-2987.76] 關於那個數字的
[2987.76-2989.76] 這個要怎麼要算
[2989.76-2991.76] Tariff這些東西
[2991.76-2993.76] 關稅要怎麼要算
[2993.76-2995.76] 台後長做個說明
[2995.76-2997.76] 這些通常是
[2997.76-2999.76] 客戶要求我們在美國
[2999.76-3001.76] 幫我們
[3001.76-3003.76] 每個產品
[3003.76-3005.76] 組裝之後然後賣給他
[3005.76-3007.76] 最後
[3007.76-3009.76] 這些成本他都是會
[3009.76-3011.76] 被計算在我們的
[3011.76-3013.76] 銷售單價裡面
[3015.76-3017.76] 了解
[3017.76-3019.76] 我們大概有多少
[3019.76-3021.76] Percentage sales是
[3021.76-3023.76] 去寄到美國的
[3025.76-3027.76] 我們最主要還是那個
[3027.76-3029.76] 大宗的這個
[3029.76-3031.76] FROV term
[3031.76-3033.76] 這是客戶
[3033.76-3035.76] 客戶他是自行
[3035.76-3037.76] 吸收關稅
[3037.76-3039.76] 了解謝謝
[3039.76-3041.76] Q2的部分
[3041.76-3043.76] 我們有機會看到
[3043.76-3045.76] Single digit或是
[3045.76-3047.76] Double digit的
[3047.76-3049.76] 成長性嗎
[3051.76-3053.76] 第二季的預測
[3055.76-3057.76] 我覺得大家還是
[3057.76-3059.76] 等這個關稅的情況
[3059.76-3061.76] 比較Settle down以後
[3061.76-3063.76] 才有辦法看
[3063.76-3065.76] 因為我覺得應該是
[3065.76-3067.76] 沒有任何一家公司真的說得準
[3067.76-3069.76] 第二季會是怎麼樣
[3071.76-3073.76] 我想就是還是
[3073.76-3075.76] 還是等一下吧
[3081.76-3083.76] 董事長不好意思
[3083.76-3085.76] 那個我在上一季曾經有
[3085.76-3087.76] 問過說可不可以稍微
[3087.76-3089.76] 拆解一下包括
[3089.76-3091.76] Power在內你們公司
[3091.76-3093.76] 還有一些基礎建設這些零主線
[3093.76-3095.76] 大概佔比是多少
[3095.76-3097.76] 當時您跟我說要等到這一季
[3097.76-3099.76] 才會提供我們相關的
[3099.76-3101.76] 數據不知道這
[3101.76-3103.76] 這部分有沒有除了一個散熱
[3103.76-3105.76] 一個6%之外
[3105.76-3107.76] 去年我們整個
[3107.76-3109.76] 這個AI
[3109.76-3111.76] 包含零組件包含
[3111.76-3113.76] 系統包含整體的
[3113.76-3115.76] 大概佔營收的
[3115.76-3117.76] 15%
[3119.76-3121.76] 請問今年
[3121.76-3123.76] 第一季還有接下來
[3123.76-3125.76] 今年我們原來預算應該
[3125.76-3127.76] 就會遠大於
[3127.76-3129.76] 這個數字一定會超過
[3129.76-3131.76] 20季可是現在
[3131.76-3133.76] 我還是講下半年是完全
[3133.76-3135.76] 看不清楚
[3135.76-3137.76] 所以這個到底會不會
[3137.76-3139.76] 會不會照我們原來的
[3139.76-3141.76] 目標去
[3141.76-3143.76] 移動其實
[3143.76-3145.76] 是不知道的
[3145.76-3147.76] 總統好就您在產業
[3147.76-3149.76] 這麼多年來看
[3149.76-3151.76] 因為這個90天的豁免期
[3151.76-3153.76] 確實讓
[3153.76-3155.76] 甚至在這個對等關稅宣布之前
[3155.76-3157.76] 已經有一些提前拉貨的狀況
[3157.76-3159.76] 這樣的一個趨勢
[3159.76-3161.76] 你們認為今年下半年
[3163.76-3165.76] 算是比較悲觀的狀態了嗎
[3167.76-3169.76] 這個很難說
[3169.76-3171.76] 我覺得這個就看你怎麼看這個事
[3171.76-3173.76] 一個是客戶要
[3173.76-3175.76] 急拉貨為了搶這
[3175.76-3177.76] 90天的這個時間
[3177.76-3179.76] 這我們一定是全力
[3179.76-3181.76] 配合啦
[3181.76-3183.76] 這裡面還是有產能的issue
[3183.76-3185.76] 還有這些材料的issue
[3185.76-3187.76] 那它拉去
[3187.76-3189.76] 真正是庫存
[3189.76-3191.76] 因為這個一個是
[3191.76-3193.76] 它整體計劃
[3193.76-3195.76] 的issue另外一個還是
[3195.76-3197.76] 廠商配合的
[3197.76-3199.76] 彼此競爭的能力
[3199.76-3201.76] 對不對假設我們可以
[3201.76-3203.76] 配合的多拉一些
[3203.76-3205.76] 那別人不行
[3205.76-3207.76] 其實這個時間
[3207.76-3209.76] 就會拖掉後面
[3209.76-3211.76] 到底會怎麼樣說實在都不清楚
[3211.76-3213.76] 所以整個企業
[3213.76-3215.76] 生存之道一個是我們
[3215.76-3217.76] 中長期的計劃
[3217.76-3219.76] 是不會變的這個是
[3219.76-3221.76] 要即使市局再不好
[3221.76-3223.76] 這個我都不停的
[3223.76-3225.76] 對我們的10年的規劃
[3225.76-3227.76] 5年的規劃的目標都在那邊
[3227.76-3229.76] 那這個全球的布局
[3229.76-3231.76] 還是要看這個整個
[3231.76-3233.76] 邏輯
[3233.76-3235.76] 你成本的考量你的供應鏈
[3235.76-3237.76] 你的整個這個
[3237.76-3239.76] 技術的推展
[3239.76-3241.76] 然後市場的變化
[3241.76-3243.76] 這個整個大的方向
[3243.76-3245.76] 你還是要有辦法去掌握
[3245.76-3247.76] 那那些變動的東西
[3247.76-3249.76] 當然要隨時調整
[3249.76-3251.76] 可是以關稅這種
[3251.76-3255.76] 我覺得這個不是調整的問題
[3255.76-3257.76] 這是不理性而且
[3257.76-3259.76] 它都是非常短期
[3259.76-3261.76] 一直在變的
[3261.76-3263.76] 這種東西就是
[3263.76-3265.76] 就是看組織的應變能力
[3265.76-3267.76] 如果你的應變能力可以快
[3267.76-3269.76] 那這也許是
[3269.76-3271.76] 一個很大的機會
[3271.76-3273.76] 所以今年到底會
[3273.76-3275.76] 會
[3275.76-3277.76] 下半年會很差
[3277.76-3279.76] 還是說整年其實會很好
[3279.76-3281.76] 其實都有可能
[3281.76-3283.76] 因為
[3283.76-3285.76] 在這應變的過程裡面
[3285.76-3287.76] 如果你的東西提早出去
[3287.76-3289.76] 那你的share會比原來還多
[3289.76-3291.76] 那後面
[3291.76-3293.76] 到底會怎麼樣
[3293.76-3295.76] 我想大家都在
[3295.76-3297.76] 同一個環境裡面
[3297.76-3299.76] 不是我們面臨到這樣的問題
[3299.76-3301.76] 所有的人都面臨到這樣的問題
[3301.76-3303.76] 那當然每一家
[3303.76-3305.76] 都有他的這個
[3305.76-3307.76] 整個的這個製造或者這些的
[3307.76-3309.76] 的佈局
[3309.76-3311.76] 做得好的大家都
[3311.76-3313.76] 有辦法應付
[3313.76-3315.76] 如果沒有這些東西的話
[3315.76-3317.76] 那可能就會比較辛苦一點
[3317.76-3319.76] 不過這一波的
[3319.76-3321.76] 這個東西我想
[3321.76-3323.76] 對這些比較大的
[3323.76-3325.76] 中大型的企業我覺得
[3325.76-3327.76] 還好可是因為它就是
[3327.76-3329.76] 我認為是一個短期的
[3329.76-3331.76] 可是你就是要一直跟著它
[3331.76-3333.76] 一直去快速的調整
[3333.76-3335.76] 對中小企業可能就
[3335.76-3337.76] 就很大了
[3337.76-3339.76] 因為一下子要這樣一下那樣
[3339.76-3341.76] 那中小企業是不堪
[3341.76-3343.76] 不堪它的庫存管理
[3343.76-3345.76] 它的現金流
[3345.76-3347.76] 都不堪這樣折磨的
[3349.76-3351.76] 可以請問一下就是剛剛有提到
[3351.76-3353.76] 因為關稅的這一部分
[3353.76-3355.76] 我們就是
[3355.76-3357.76] 自由品牌終端這個漲價
[3357.76-3359.76] 我想知道是有哪些的品項
[3359.76-3361.76] 以及漲幅
[3361.76-3363.76] 第二個問題就是
[3363.76-3365.76] 因應這個地緣政治的挑戰
[3365.76-3367.76] 除了全球佈局我們這個
[3367.76-3369.76] 非常多元之外
[3369.76-3371.76] 我們有沒有考慮建立第二營運總部
[3371.76-3373.76] 的一個計畫
[3373.76-3375.76] 第三個就是開pass
[3375.76-3376.76] 我們去年營收
[3376.76-3378.76] 去年的開pass是創新高
[3378.76-3380.76] 在前一季的法術會上
[3380.76-3382.76] 有提到說今年的開pass
[3382.76-3384.76] 會比去年稍微下滑但維持在
[3384.76-3386.76] 300億之上目前這個目標是不是不變
[3386.76-3388.76] 謝謝
[3390.76-3392.76] 營運總部其實我們
[3392.76-3394.76] 一直都有第二營運總部的規劃
[3394.76-3396.76] 在我記得在
[3396.76-3398.76] 多年前我們的
[3398.76-3400.76] 第二營運總部在上海
[3400.76-3402.76] 所以上海那邊有高階主管
[3402.76-3404.76] 的辦公室有整層樓
[3404.76-3406.76] 都是for headquarter這邊
[3406.76-3408.76] 假設需要
[3408.76-3410.76] 移動的話
[3410.76-3412.76] 那我們在上海
[3412.76-3414.76] 因為那時候中國的整個的
[3414.76-3416.76] 趨勢大陸整個
[3416.76-3418.76] 趨勢都非常的好而且我們
[3418.76-3420.76] 在那邊的整個投資
[3420.76-3422.76] 不管是製造研發
[3422.76-3424.76] 各方面的資源運用非常的
[3424.76-3426.76] 後面中美貿易
[3426.76-3428.76] 嚴重的時候我們
[3428.76-3430.76] 第二營運總部有規劃在泰國
[3430.76-3432.76] 我們甚至於在泰國也做了
[3432.76-3434.76] 第二個所謂headquarter
[3434.76-3436.76] 的這個data center
[3436.76-3438.76] 這個已經全部都建置完成
[3438.76-3440.76] 而且是隨時可以把
[3440.76-3442.76] 台灣的這個資料
[3442.76-3444.76] 可以他們每天都在update
[3444.76-3446.76] 所以如果這邊
[3446.76-3448.76] 停那邊
[3448.76-3452.76] 可以有兩天的資料loss
[3452.76-3454.76] 其他所有東西都可以
[3454.76-3456.76] 持續的接手
[3456.76-3458.76] 因為我們全球很多地方
[3458.76-3460.76] 是連回台灣的
[3460.76-3462.76] 所以如果有
[3462.76-3464.76] 有需要的話那邊隨時
[3464.76-3466.76] 可以動的起來
[3466.76-3468.76] 而且是只有兩天的
[3468.76-3470.76] 資料loss
[3470.76-3472.76] 所以這些都是風險管理
[3472.76-3474.76] 我們做一個所謂international
[3474.76-3476.76] 公司那這些
[3476.76-3478.76] 不管是這些地緣政治也好
[3478.76-3480.76] 什麼東西也好
[3480.76-3482.76] 這些的風險管理
[3482.76-3484.76] 我們都有考量
[3484.76-3486.76] 另外你另外的問題
[3486.76-3488.76] 是
[3488.76-3490.76] 去年跟今年的
[3490.76-3492.76] 比較
[3492.76-3494.76] 待會兒
[3494.76-3496.76] 自由品牌
[3496.76-3498.76] 我們在美國自由品牌
[3498.76-3500.76] 有這個sender的power
[3500.76-3502.76] 我們的power有
[3502.76-3504.76] 應用在各個部分的
[3504.76-3506.76] 在醫療產品
[3506.76-3508.76] 在lighting的產品
[3508.76-3510.76] 在工業的產品這些sender power
[3510.76-3512.76] 是用channel在自由品牌
[3512.76-3514.76] 在賣的這個就會漲價
[3514.76-3516.76] 還有我們的
[3516.76-3518.76] 風扇
[3518.76-3520.76] 很多消費的這種
[3520.76-3522.76] channel的那我們會
[3522.76-3524.76] 有其他的
[3524.76-3526.76] 應該是工業的產品
[3526.76-3528.76] 工業產品
[3528.76-3530.76] 這個
[3530.76-3532.76] 透過channel在賣的這些
[3532.76-3534.76] 控制器啦
[3534.76-3536.76] 這些變頻器啦
[3536.76-3538.76] 這些是有
[3538.76-3540.76] 那至於漲多少就看市場上面的狀況
[3540.76-3542.76] 大家
[3542.76-3544.76] 怎麼去處理這個
[3544.76-3546.76] 你還是一個competition
[3548.76-3550.76] 是
[3556.76-3558.76] 跟上次談的
[3558.76-3560.76] 一樣今年大概是
[3560.76-3562.76] 300億多一點
[3562.76-3564.76] 除非說我們
[3564.76-3566.76] 今年還有去
[3566.76-3568.76] 額外買一個building
[3568.76-3570.76] 或者是一個
[3570.76-3572.76] 場房土地要不然
[3572.76-3574.76] 大概就是這樣子
[3580.76-3582.76] 管理層你們好我是
[3582.76-3584.76] 元大的Jerry我這邊有一個問題
[3584.76-3586.76] 想請教一下就是
[3586.76-3588.76] 剛有提到那個因為
[3588.76-3590.76] 因為我們是在做二次稅的問題
[3590.76-3592.76] 所以二Q客戶
[3592.76-3594.76] 有在做這個
[3594.76-3596.76] 90天之內有提前
[3596.76-3598.76] 拉貨有加速拉貨
[3598.76-3600.76] 我可以我們有辦法
[3600.76-3602.76] break down說
[3602.76-3604.76] 這個客戶提前拉貨是全部的產品嗎
[3604.76-3606.76] 還是有哪一些產品拉貨的速度
[3606.76-3608.76] 是特別的快
[3608.76-3610.76] 哪一些產品是可能
[3610.76-3612.76] 拉貨的速度沒有那麼
[3612.76-3614.76] 相較於其他產品是沒有那麼
[3614.76-3616.76] 快然後這個
[3616.76-3618.76] 我們可能
[3618.76-3620.76] 產能的提升就是我們可能
[3620.76-3622.76] 透過加班或是設備的
[3622.76-3624.76] UTR提升這跟第一季比的話
[3624.76-3626.76] 大概是有多少個
[3626.76-3628.76] percentage這是我們可以估算的嗎
[3628.76-3630.76] 謝謝
[3632.76-3634.76] 這個我們
[3634.76-3636.76] 沒有辦法把這個確實的數字
[3636.76-3638.76] 放出來不過general
[3638.76-3640.76] 來談的話
[3640.76-3642.76] 應該是各個
[3642.76-3644.76] 各個部分都有
[3644.76-3646.76] 能夠拉的都會往
[3646.76-3648.76] 都會擠著拉
[3656.76-3658.76] 剛剛稍微補充一下
[3658.76-3660.76] 就是說剛剛執行長提的
[3660.76-3662.76] 第二營運中心
[3662.76-3664.76] 這個東西就是說
[3664.76-3666.76] 都是一個discussion
[3666.76-3668.76] 都是一個discussion
[3668.76-3670.76] 作為一個公司
[3670.76-3672.76] 有這麼多的股東
[3672.76-3674.76] 這是我們的responsibility
[3674.76-3676.76] 一定要有所謂的backup plan
[3676.76-3678.76] 但是就是說
[3678.76-3680.76] 這種
[3680.76-3682.76] 你有一個plan
[3682.76-3684.76] 並不代表說
[3684.76-3686.76] 所有的事情就是
[3686.76-3688.76] in place
[3688.76-3690.76] 因為這個都是一個 ongoing discussion
[3698.76-3700.76] 最後一個疑問嗎
[3700.76-3702.76] 時間到了
[3704.76-3706.76] 時間超過了
[3706.76-3708.76] 好沒關係
[3708.76-3710.76] 我們就現場再開放最後一個
[3710.76-3712.76] 問題好了
[3714.76-3716.76] 沒有的話
[3716.76-3718.76] 那我們就
[3718.76-3720.76] 下一季再見了
[3720.76-3722.76] 謝謝
