[0.00-20.44] 各位贵宾早安
[3500.08-3503.92] 如果我们确定我们可以做的相对比较margin还不错
[3503.92-3507.50] 那我们就是会采增量的方式去做争取
[3507.50-3508.52] 那如果有些
[3508.52-3509.56] 我们平均出来
[3509.56-3512.88] 平和起来料耗毛利率已经偏低了
[3512.88-3515.18] 那这个部分我们就是维持share rate
[3515.18-3516.98] 我们不会特别去做争取
[3516.98-3520.04] 那也要看这个料耗是不是客人接下来
[3520.04-3524.14] 在下半年的model跟明年的model会持续用的料耗
[3524.14-3525.94] 去做一个
[3525.94-3528.24] 评估标准
[3528.24-3530.28] 那中国的部分我们其实
[3530.28-3532.84] 已经有去降低低积热
[3532.84-3535.66] 因为中国的低阶他有用
[3535.66-3538.72] Low-po录制的同业的产品去做
[3538.72-3541.80] 那个部分我们有评估过真的价格太低
[3541.80-3542.56] 那
[3542.56-3543.84] 客人又太
[3543.84-3546.66] 价格导向的情况下就不会去做
[3546.66-3548.96] 那反而是在TXO的订单
[3548.96-3550.50] TSS的订单
[3550.50-3552.80] 跟高频crystal这个我们
[3552.80-3554.86] 是有给share
[3554.86-3557.92] 对因为在这个区块
[3557.92-3560.24] 中国的客人他就是会跟台厂拿
[3560.24-3562.28] 他可能也不一定会去跟
[3562.84-3563.86] 日本厂商拿
[3563.86-3567.44] 所以反而这边是我们相对的一个优势
[3567.44-3568.98] 这是在手机
[3568.98-3572.56] 那为什么今年在手机的展望看着相对比较保守
[3572.56-3575.12] 一个当然就是市场上价格上面
[3575.12-3577.44] 我们确实有考量一些因素
[3577.44-3579.22] 所以我们不能
[3579.22-3581.52] 不能一定说就是量
[3581.52-3584.60] 绝对的YY增加但是我们会去掌握一些关键
[3584.60-3585.88] 关键project
[3585.88-3587.42] 然后再来就是说
[3587.42-3590.24] 客人的产品设计
[3590.24-3592.80] 他在今年有些model上面的设计
[3592.84-3596.16] 他有去增加
[3596.16-3598.72] 那个叫做MENSE的一个产品
[3598.72-3602.56] 比如说刚刚前面有提到我们有个同业SiteTime
[3602.56-3605.12] 他有些MENSE的产品是
[3605.12-3606.92] 有做
[3606.92-3609.48] 比较多输出的一个solution
[3609.48-3612.30] 那如果客人用这样的设计的情况下
[3612.30-3616.64] 对应到他用我的crystal相对会比较便宜没有错
[3616.64-3620.24] 但是我的crystal他就可能要用到两到三颗
[3620.24-3622.54] 才能够达到这些输出评点
[3622.54-3624.84] 但是客人如果是在
[3624.84-3628.68] 一些model上面他选择用这种多输出的一个产品
[3628.68-3629.96] 那这个部分
[3629.96-3633.80] 在我的数量上面也是会受到影响
[3647.88-3650.96] 抱歉那我们因为时间的关系我们将开放最后一个问题
[3652.54-3654.08] 我们就再回到今天
[3654.08-3654.58] 好
[3654.58-3655.62] 那感谢各位的提问
[3655.62-3657.40] 今天的Q&A时间就到此结束
[3657.40-3659.70] 再次感谢经济管理阶层晶片演说
[3659.70-3662.02] 也感谢各位贵宾递领指导
[3662.02-3665.08] 提醒您底座时请将贵重物品随身攜带
[3665.08-3667.64] 下一场会议我们将于1点半开始
[3667.64-3668.42] 下场见
[3668.42-3668.92] 谢谢
[3682.54-3684.34] 谢谢大家
