[0.00-9.08] 各位投資先進
[3090.56-3091.56] 那一個去做詢問
[3091.56-3092.56] 因為就我了解
[3092.56-3095.56] 市場上目前主要的這個設備上
[3095.56-3097.56] 應該是硬的
[3097.56-3098.56] 我不知道兩個做的
[3098.56-3100.56] 看起來是一樣的
[3100.56-3101.56] 那我想了解一下說
[3101.56-3103.56] 公司的真空壓力烤箱
[3103.56-3104.56] 跟硬能科技他們的
[3104.56-3107.56] 真空壓力烤箱的競爭優勢在哪
[3107.56-3110.56] 然後我們這樣切進去
[3110.56-3112.56] 是要直接會跟他們競爭嗎
[3112.56-3114.56] 那先問這個問題
[3118.56-3120.56] 我這邊來回答
[3120.56-3122.56] 那其實這個因緣際會
[3122.56-3124.56] 我們客戶期待我們
[3124.56-3129.56] 就熱的技術來協助他做Deploy的一個測試
[3129.56-3132.56] 所以基本上有可能會是off-lap沒有錯
[3132.56-3134.56] 因為我們在西坡棒跟
[3134.56-3136.56] 麥克棒上的儲泡
[3136.56-3139.56] 那我覺得我們就是以服務客為主
[3139.56-3142.56] 客戶希望我們投入這方面的開發
[3142.56-3144.56] 我相信應該有一些
[3144.56-3147.56] 他有客戶商務上的思考邏輯
[3147.56-3150.56] 但是我也需要跟各位分享
[3150.56-3152.56] 硬能是一個不錯的公司
[3152.56-3156.56] 因為他們是從製程去解決問題
[3156.56-3158.56] 那我們是因為配合著客戶
[3158.56-3160.56] 他期待我們懂熱
[3160.56-3164.56] 有熱來幫他做一些新的想法開發
[3164.56-3166.56] 所以我們應該不是全面
[3166.56-3168.56] 但是會有一部分我們會來幫他
[3168.56-3170.56] 我先這樣分享
[3170.56-3172.56] 那這邊想稍微追問一下
[3172.56-3174.56] 像我們的這個儲泡的設備
[3174.56-3178.56] 他是區盤Wafer段跟On-Sub階段
[3178.56-3180.56] 都會用到這一種設備
[3180.56-3183.56] 還是說只有On-Sub階段會用到
[3183.56-3185.56] 新階段我們還在On-Sub階段
[3185.56-3187.56] 那當然客戶也期待我們
[3187.56-3189.56] 往區盤Wafer
[3189.56-3192.56] 我們還是配合客戶以整體的方向
[3192.56-3194.56] 因為這樣子對我們來講
[3194.56-3196.56] 客戶會抓到我們的節奏
[3196.56-3198.56] 他也不要懂我們會懂那些熱來
[3198.56-3200.56] 了解 謝謝
[3205.56-3208.56] 剛剛這位那個討論專業
[3208.56-3214.56] 那個我們是專業的熱的專家
[3214.56-3216.56] 那硬能是除泡專家
[3216.56-3218.56] 那我會除泡
[3218.56-3220.56] 我會做熱
[3220.56-3221.56] 可是他會除泡
[3221.56-3222.56] 不記得會做熱
[3222.56-3224.56] 所以跟熱相關的東西
[3224.56-3226.56] 其實就會有一些差別
[3226.56-3227.56] 那新進行動作裡面非常非常多
[3227.56-3229.56] 跟熱有關的東西
[3229.56-3232.56] 所以就不是單純除泡這件問題
[3232.56-3233.56] 這件事情
[3233.56-3235.56] 所以說
[3235.56-3237.56] 不是說我們現在才開始發展
[3237.56-3239.56] 我們早就有了
[3239.56-3242.56] 只是說大家專注的點不太一樣
[3242.56-3244.56] 我們發展的東西不太一樣
[3244.56-3247.56] 這一次在每次每次迭代的時候
[3247.56-3251.56] 都會有一些不同的需求的置換
[3251.56-3253.56] 所以說我覺得我們在這一塊熱的發展上面
[3253.56-3256.56] 其實看樣子我們今年如果說
[3256.56-3257.56] 大家有看到說
[3257.56-3259.56] 剛剛彥子有提到說
[3259.56-3260.56] 我們的東西
[3260.56-3262.56] 客戶裡面有些避炎啊
[3262.56-3263.56] 幹嘛
[3263.56-3264.56] 可是我們其實因受不受影響
[3264.56-3267.56] 主要是因為我們很多熱熱的產品有頂上來
[3267.56-3269.56] 一些極大需求有頂上來
[3271.56-3273.56] 就剛才新增幾個站點
[3273.56-3274.56] 剛好分享就是DeepOp一個
[3274.56-3277.56] 另外一個是FinalCast的本營
[3277.56-3279.56] 我也慢慢會頂上來
[3279.56-3281.56] 這是我覺得經營團隊
[3281.56-3283.56] 營運團隊很努力的地方
[3283.56-3292.56] 非常投入
[3292.56-3294.56] 其實這件事情
[3294.56-3296.56] 而且cer 해주面貼
[3296.56-3298.56] 可是我們 David Tal
[3298.56-3300.56] 其實在我們 coronavirus 上
[3300.56-3302.56] 已經有從來沒有跟成一團的 Fore wen
[3302.56-3306.50] 會很自然的
[3307.56-3308.56] 我們根本obe了
[3308.56-3310.06] 那中間也總是有ury
[3310.06-3311.56] 我們政府 pun
[3311.56-3312.56] 也曾經 quite frankly
[3312.56-3313.56] 也是好東西
[3313.56-3318.94] 目前看起來我們的上半年都非常好
[3318.94-3327.90] 我們也是少數不太受關稅跟匯率影響的產業
[3327.90-3330.58] 現在我想問一下
[3330.58-3333.02] 目前就下半年來看
[3333.02-3338.90] 以上下半年來看是否可以比上半年更好
[3338.90-3346.58] 現在目前也有很多新的製程跟迭代
[3346.58-3349.66] 這部分的話希望可以多做分享
[3349.66-3353.36] 例如像是POPOS、SOIC
[3353.36-3355.60] 預期放這樣的時間
[3355.60-3358.42] 然後因為我們有跟著重大客戶
[3358.42-3361.56] 打算去海外發展
[3361.56-3363.66] 去海外發展的話
[3363.66-3368.60] 就是預期這方面的營收什麼時候
[3368.60-3368.88] 可以發展
[3368.88-3371.96] 方便多做收入嗎
[3371.96-3372.46] 謝謝
[3372.46-3379.38] 我先回答最後一個問題
[3379.38-3381.16] 去是當然要去
[3381.16-3384.24] 那您說要有可能要四年後的事情
[3384.24-3385.00] 至少啦
[3385.00-3389.10] 因為前段長蓋一年半兩年
[3389.10-3391.16] 再後段長蓋一年半兩年
[3391.16-3392.18] 大概要三四年
[3392.18-3394.22] 所以前面大概就是
[3394.22-3396.02] 跟我們剛剛大概看到一樣
[3396.02-3397.80] 那個費用會先上來
[3397.80-3398.84] 可是
[3398.84-3403.70] 其實費用上來我們會靠我們的產品的競爭力的毛利把它offset掉
[3403.70-3407.28] 盡量讓我們的資源投入在一些高額價值的地方
[3407.28-3408.56] 所以我想這個
[3408.56-3411.38] 發展的狀況就是說其實你有先看到投入
[3411.38-3412.66] 接下來就看到投入
[3412.66-3413.68] 我就跟
[3413.68-3414.96] 我們協議有提到說
[3414.96-3417.78] 大概幾年前有看到
[3417.78-3419.06] 惠澤家總裁
[3419.06-3420.86] 自己押股票
[3420.86-3421.62] 然後買股票
[3421.62-3422.90] 他就說哇三百多塊
[3422.90-3423.92] 這麼敢買啊
[3423.92-3426.74] 原來他的眼光是比較長遠的
[3426.74-3428.54] 他有看到後面他的投入
[3428.84-3430.38] 他就覺得我剛提到一件事情
[3430.38-3432.16] 我們G2C的
[3432.16-3433.44] 剛剛彥震有提到一件事情
[3433.44-3434.98] 我們G2C的人
[3434.98-3437.28] 研發人員增加了三級
[3437.28-3439.84] 可是這只是人數的增加
[3439.84-3444.20] 我們這三級幾乎都是台城金融
[3444.20-3446.76] 我想那個數值會非常非常不一樣
[3446.76-3449.32] 所以我在人才的角度
[3449.32-3452.14] 也希望大家拭目以待看緊以後
[3452.14-3455.98] 我們有機會複製一下我們總裁的眼光
[3455.98-3458.80] 我們的資本支出就是我們人才的支出
[3458.84-3463.96] 我們的人才支出就是我們台灣年輕人的收入
[3463.96-3467.04] 所以我覺得也是蠻做社會公益的啦
[3467.04-3469.60] 增加這個收入增加這個效益
[3469.60-3470.88] 然後抓對這個賽道
[3470.88-3473.18] 讓我們能夠變成
[3473.18-3475.22] 在下一個世代能夠站一個
[3475.22-3476.50] 一個更好的舞台
[3476.50-3478.30] 我想這是第一件事情
[3478.30-3479.84] 第二個是說提到
[3479.84-3480.86] 不同形式的封裝
[3480.86-3482.14] 剛是有講
[3482.14-3483.92] 我以為我們剛有說non-waiver phone
[3483.92-3485.98] 其實那個non-waiver phone的部分
[3485.98-3487.26] 事實上其實
[3487.26-3488.80] 它就是一個增加效益的
[3488.84-3489.86] 一個方法
[3489.86-3492.42] 但是其實我們講說信義通通
[3492.42-3495.50] 其實我想信義通通其實很難理解
[3495.50-3497.54] 所以我們也很密切的在看我們
[3497.54-3499.84] 主要客人的很多技術論壇啊
[3499.84-3500.62] 很多的
[3500.62-3502.92] 很多的一個對外的說明
[3502.92-3504.20] 我們在中間了解
[3504.20-3505.48] 它整體的樣貌
[3505.48-3507.28] 信義通通事實上包含剛剛
[3507.28-3509.32] 譬如說剛剛那一顆最大顆裡面
[3509.32-3510.86] 包含各式各樣的
[3510.86-3512.40] 東西都放在一起
[3512.40-3513.92] SOIC
[3513.92-3514.96] SOW
[3514.96-3516.24] 什麼都放在一起
[3516.24-3518.80] 完全就看我們它的終端客人的
[3518.84-3521.14] 需求是什麼東西
[3521.14-3523.44] 其實這是一個大家看好像
[3523.44-3524.98] 好像裝那個
[3524.98-3527.28] 黃色的珠寶很快
[3527.28-3528.32] 一樣
[3528.32-3530.10] 好像裝黃色珠寶一樣
[3530.10-3531.64] 負量非常的高
[3531.64-3533.18] 那其實也是有些量
[3533.18-3534.46] 其實要看它
[3534.46-3536.50] 你要回來看它下一代下一代
[3536.50-3538.04] 其實幾個主要的
[3538.04-3540.60] 做這個要用這個晶片的人
[3540.60-3542.40] 他訂製什麼樣的東西
[3542.40-3544.18] 其實是不太好琢磨的
[3544.18-3545.72] 可是我們知道一件事情是
[3545.72-3546.74] 越來越大顆
[3546.74-3548.80] 越低越厚越低越大
[3548.84-3550.38] 算力越來越高
[3550.38-3552.16] 所以剛剛其實
[3552.16-3553.70] 其實我覺得這個算力這個事情
[3553.70-3555.24] 其實到目前為止還是沒有變
[3555.24-3556.78] 還是強調這個算力
[3556.78-3557.54] 要算什麼東西
[3557.54-3558.06] 今天
[3558.06-3559.08] 還是昨天
[3559.08-3559.84] 那個
[3559.84-3561.12] 華文君先生講的一個
[3561.12-3562.40] 非常重要的概念就是
[3562.40-3565.48] 你怎麼用算力轉換成AI Token
[3565.48-3569.32] 簡單的就是你必須要創造有價值的content出來
[3569.32-3570.34] 這很重要
[3570.34-3572.40] 就像我們為我們的客人說說
[3572.40-3574.18] 有價值的content出來是一樣的
[3574.18-3575.98] 那這個算力就是我們的腦力
[3575.98-3578.28] 我剛剛提到多了百分之三十幾的人力
[3578.28-3578.80] 能不能算出來
[3578.84-3582.16] 能不能產生出更有價值的content出來
[3582.16-3583.20] 他會反映在哪裡
[3583.20-3585.24] 他絕對反映在毛利跟銀手
[3585.24-3587.28] 我覺得這件事情需要一段時間
[3587.28-3592.40] 再跟大家來分享這個事情
[3592.40-3593.94] 剛才提到
[3593.94-3596.24] 封裝技術的應用
[3596.24-3600.34] 智慎跟均衡都有些對應的狀態
[3600.34-3602.14] 那我覺得回歸到一個點就是
[3602.14-3605.72] 客戶不斷提到3D Fabric的一個架構
[3605.72-3608.28] 從這個架構裡面我們去反省自己是不是
[3608.28-3610.32] 在整體的3D Fabric
[3610.32-3615.20] 是不是都有相對應的核心技術在運用
[3615.20-3616.72] 在這幾個點
[3616.72-3619.54] 所以我們從SYC也好
[3619.54-3624.40] 或是整個Cowas的Waveform
[3624.40-3628.00] 延續到Consumer的Info
[3628.00-3630.04] 這點我們回去盤點過
[3630.04-3632.34] 這方面我們都有
[3632.34-3637.20] 機種設備或是幾個核心技術跟隨的客戶在做認證跟驗證
[3637.20-3637.72] 實証方面我們有幾個技術跟隨的客戶在做認證跟驗證
[3637.72-3639.76] 實証我們比較不好說
[3639.76-3642.58] 因為這實証是來自於客戶的Temple
[3642.58-3645.40] 那我們就盡可能配合他跟得上最重要
[3645.40-3647.96] 這還是回歸到我們本身的
[3647.96-3649.76] 剛才我們總監提到
[3649.76-3651.54] 工程能力的資源
[3651.54-3653.34] 是不是跟對標對撞
[3653.34-3655.38] 現在我們正在努力往這邊移動
